plot,true_genres,predicted_genres
"[""On the set of a playwright's new project, a love triangle forms between his wife, her ex-lover, and the call girl-turned-actress cast in the production.::Anonymous""]","Comedy, Drama","Comedy, Romance"
"['The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the twentieth century.', ""The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the 20th century. Regina Giddens nÃ©e Hubbard has her daughter under her thumb. Mrs Giddens is estranged from her husband, who is convalescing in Baltimore and suffers from a terminal illness. But she needs him home, and will manipulate her daughter to help bring him back. She has a sneaky business deal that she's cooking up with her two elder brothers, Oscar and Ben. Oscar has a flighty, unhappy wife and a dishonest worm of a son. Will the daughter have to marry this contemptible cousin? Who will she grow up to be - her mother or her aunt? Or can she escape the fate of both?::J. Spurlin"", ""In 1900, in the Southern town of Linnet, the notorious Hubbard family is hated by the residents since they exploit the poor and the black people in their business. Regina Giddens, nÃ©e Hubbard, is married with Horace Giddens, who is a good man that is interned in a hospital in Baltimore due to a heart condition. They are estranged and they have a daughter, the naive Alexandra Giddens that has a crush on the local David Hewitt but she is controlled by her merciless mother. Regina's brothers are the exploitative Ben Hubbard, who is single, and Oscar Hubbard, who is married with the wounded Birdie, and they have a son, the scum Leo that works in a bank. Oscar and Regina have made arrangements to marry Leo with Alexandra. When Ben and Oscar invite the wealthy businessman William Marshall to come to Linnet to build a mill to improve their business and pay low wages to the locals, they need US$ 75,000.00 from Regina. She manipulates Alexandra to bring Horace back home to convince him to lend the money. However, Horace does not accept the business and Leo steals his railroad bonds from the safe in the bank to invest in the business with Marshall, expecting to return the money without Horace noticing. Bur Horace goes to the bank and finds the embezzlement. What will Horace and Alexandra do?::Claudio Carvalho, Rio de Janeiro, Brazil"", 'This film adaptation of the Lillian Hellman play depicts a post-Civil War southern community where nothing is more important than money and power to Regina Giddens (Bette Davis). In order to join her equally ruthless brothers in a scheme that is sure to gain her wealth and power, she uses her young, naÃ¯ve daughter to fetch her estranged, ailing husband who is living elsewhere. When she cannot convince her husband to give her the money, she sets forward a cunning plan which escalates.::Robin <soonerzs@yahoo.com>']","Drama, Romance","Drama, Romance"
"['On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident.::Anonymous', ""SPOILER: Seventeen year-old Rhoda Williams receives an acceptance letter from MIT and she celebrates with her friends. On the same night, a planet similar and close to Earth is discovered and called Earth 2. Rhoda drives her car looking at Earth 2 and crashes with composer John Burroughs, killing his pregnant wife and his baby son. Rhoda goes to prison and four years later she is released and moves to her parents' house. She finds a job as high-school janitor, but tries to commit suicide. She survives, however, and submits an essay to a contest where the prize is a ticket to travel to Earth 2. Meanwhile the scientists discover that Earth 2 is a mirror of Earth and the synchronicity between the dwellers was interrupted when the planets were seen by each other. One day, Rhoda decides to visit John Burroughs, whose life was destroyed after the death of his family, to admit to him that she had killed his family. However she does not have the nerve to tell him the truth. So she lies and tells him he has won a free cleaning service of his home. Rhoda wins the writing contest, but meanwhile John and she have fallen in love with each other. Rhoda has to take a decision whether she goes or stays, but she wants to tell John the truth first.::Claudio Carvalho, Rio de Janeiro, Brazil"", 'On the unprecedented news of the fascinating discovery of a duplicate planet Earth in our solar system--the Earth 2--the bright 17-year-old MIT astrophysics student, Rhoda Williams, crashes into another car while driving home. Freshly released from prison after four years that put an end to a promising future and still devastated by the tragic consequences of her actions, Rhoda tries to pick up the pieces of her life, while thirsting to make amends by apologising to the other driver, the composer John Burroughs. However, at the sight of the wounded man, Rhoda will lose her nerve, deciding to keep her secret just a little bit longer. Can there be a connection between them, especially now, under the shadow of the distant mirror Earth?::Nick Riganas']","Drama, Romance, Sci-Fi","Drama, Sci-Fi"
"['After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.::Twentieth Century Fox', 'Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.::ahmetkozan', 'After being constantly attacked by the humans, despite asking for peace, Caesar and the Apes decide to find a new home safe from the humans. But after the tragic deaths of the most recent attack form the humans, Caeser embarks on a mission to kill the ruthless human Colonel.::Ronald Pickleson', 'Caesar decides to move to a place across the desert with the other apes to end the war with humans and live in peace. However they are attacked in a cave hidden by a waterfall and Caesar loses his wife Cornelia and his son Blue Eyes and only Cornelius survives. Caesar decides to revenge on their death and separates from the other apes to hunt down The Colonel, who was the responsible for killing his family. However Maurice, Luca en Rocket follow him while the other apes head to the safe place. Along the journey of Caesar and his friends, they stumble upon the mute girl Nova and the chimpanzee Bad Ape that go with them. They arrive at the border and find a facility where his clan has been captured by The Colonel and forced to build a wall without water or food. But Caesar is captured by The Colonel and learns that he has slaughtered infected humans. Now the army is coming to kill him and he is protecting his men and himself with a wall. What will Caesar do?::Claudio Carvalho, Rio de Janeiro, Brazil', 'Two years after the misanthropic bonobo Koba attacked the human survivors in San Francisco, Caesar and his tribe of intelligent apes have been forced against a rogue U.S. military faction known as Alpha-Omega led by a ruthless colonel. Alpha-Omega employs other apes formerly loyal to Koba, derogatorily called ""donkeys"". An Alpha-Omega platoon launches an attack on an ape outpost, but it fails and four soldiers, including one named Preacher and a ""donkey"" gorilla named Red, are captured. Caesar releases the soldiers, hoping the display of mercy will show the Colonel that the apes are not savages; Red escapes by injuring the albino gorilla Winter. Later, Caesar\'s eldest son Blue Eyes and lieutenant Rocket return from a long journey. Blue Eyes reports that they found a place across the desert that is ideal for the apes. Despite an uneasy Winter asserting that the apes should leave immediately, Caesar decides they need to prepare first. That night, the Colonel leads a team of soldiers in infiltrating the apes\' home, killing Blue Eyes and Caesar\'s wife Cornelia; Caesar unsuccessfully attempts to prevent the Colonel\'s escape. Afterward, the apes are unable to find Winter, who they believe betrayed them out of fear.']","Action, Adventure, Drama, Sci-Fi, Thriller","Action, Adventure, Sci-Fi"
"[""Conrad (Jason Bateman) is helped by his old friend Dylan (Billy Crudup) and returns the favor by falling for Dylan's girlfriend Beatrice (Olivia Wilde).::Official Source"", ""As he eases into adulthood at the age of forty, Conrad Valmont (Jason Bateman), the over-educated, under-employed heir to the Valmont Hotel fortune, is cut off from his allowance following his parents abrupt divorce and tossed out into the unforgiving streets of the Upper West Side. Luckily, he is taken in by his old friend Dylan (Billy Crudup), and returns the favor by immediately falling for Dylan's girlfriend Beatrice (Olivia Wilde). As Conrad attempts to woo Beatrice while keeping both their relationship and his bank balance secret, Dylan tries to set him up with Jocelyn (Jenny Slate). Ever committed to the charade that he eventually finds difficult to maintain, Conrad quickly realizes his charm can only extend so far into debt. Now deep into an extensional reflection, will it take losing everything to make Conrad realize what he can truly become?::Official Source"", ""Approaching forty, Conrad Valmont has not worked a day in his life, he having lived off the wealth of his parents, who he has not seen of late as they are on a perpetual around the world trip. Conrad, however, tells people that he is working on the quintessential New York novel, it always being in the information gathering stages. Conrad grew up and still lives in the family's lavish, old world Manhattan hotel, where he was raised by servants. He has never been in a serious relationship, those available women he finding sexually attractive a bore, and those he finding interesting to who he is not sexually attracted. Whenever he has stayed with a woman for longer than one night has always been solely in not wanting to be alone. His longtime best and only real friend is equally wealthy Dylan Tate, whose money is self made as a successful artist, and who is a socialist at that. Also unlike Conrad, Dylan takes love seriously, he and his last girlfriend, Jocelyn, with who he just broke up, lasting for three years. Out of circumstance and without previous notification, Conrad's parents cut him off meaning that he has to move out of the hotel immediately with no money and find his own means of living. The subsequent week in Conrad's life is presented, that week which includes he: borrowing a couple of hundred dollars from his longtime therapist, Barry, to get him going; moving in with Dylan, who he does not tell about his new financial situation; falling in love for the first time, with Beatrice Fairbanks, a model and aspiring musician, she who happens to be the woman Dylan is also pursuing; and starting a clandestine relationship with Beatrice - a woman he could see being the one - despite vowing to Dylan that he would not hit on her, Dylan who could see his attraction to her. The primary questions become what will happen to Conrad's relationships with both Dylan and Beatrice when they inevitably find out about his financial situation and with Dylan specifically about breaking his vow concerning Beatrice, and whether during this week Conrad will take steps to truly growing up, something that has not happened in forty years.::Huggo""]","Comedy, Drama, Romance",Drama
"[""Unhappy Larry Burrows sees what his life could've been like, had he made that winning home run as a teenager.::MonkeyKingMA"", 'Larry Burrows (Jim Belushi) is unhappy and feels powerless over his life. He believes his entire life could have turned out differently had he not missed that shot in a baseball game when was a kid. One night he meets this mysterious man named Mike (Sir Michael Caine), who could change his fate by offering him that alternative life of which he always dreamed. But as Burrows embarks on this journey of self discovery he realizes that even this new life has its problems and drawbacks.::Sami Al-Taher <staher2000@yahoo.com>', 'In a modern day ""It\'s a Wonderful Life (1946)"" senario, sporting goods executive Larry Burrows is given an alternate life choice, that changes his existence. At first look, his new life has all of the attractive trappings of a successful and happy life. But of course, with all of the good, comes some bad as well. Can Larry get his original life back, to share with the true love of his life? Only time and circumstances will tell. The end result is a Frank Capra-type ending that will have everyone leaving their seats, feeling all warm and fuzzy.::karaokekid-588-175168']","Comedy, Fantasy, Romance",Drama
"['A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.::Anonymous', ""In a dystopian near future, humanity has been ravaged by a mysterious fungal disease. The afflicted are robbed of all free will and turned into flesh-eating 'hungries'. Humankind's only hope is a small group of hybrid children who crave human flesh but retain the ability to think and feel. The children go to school at an army base in rural Britain, where they're subjected to cruel experiments by Dr. Caroline Caldwell (Glenn Close). School teacher Helen Justineau (Gemma Arterton) grows particularly close to an exceptional girl named Melanie (Sennia Nanua), thus forming a special bond. But when the base is invaded, the trio escape with the assistance of Sgt. Eddie Parks (Paddy Considine) and embark on a perilous journey of survival, during which Melanie must come to terms with who she is.""]","Action, Adventure, Drama, Horror, Sci-Fi, Thriller","Drama, Horror, Sci-Fi"
"['A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.::Anonymous', ""A boy finds an interesting egg. His curiosity leads him to protect it and want to figure out what will come out of it. He didn't realize that it would turn into something magical. The boy and the Water horse grow a strong relationship together in this wonderful story.::kcquail"", ""Angus MacMorrow (Alex Etel) has made a most unusual discovery, and he's about to find out just how one innocent boy's greatest fantasy can also be a frightened adult population's greatest threat. Unable to identify the egg that he found while walking the sandy shores, Angus is even more perplexed about the discovery and the creature that emerges resembles what comes to be known as a Water Horse, which Angus names Crusoe. As the bizarre new life form begins to grow at an alarming rate, it soon becomes obvious that Angus will not be able to keep it a secret for very long, and the young boy will have to do some seriously quick thinking if he is to keep his new friend safe.""]","Adventure, Family, Fantasy","Adventure, Family, Fantasy"
"['Cassie Temple accepts a job as a babysitter back home after her internship falls through, however she begins suspecting her employer is up to something sinister after overhearing a murder plot.::MS', ""When her dream internship with an independent record label in Los Angeles falls through at the last minute, Cassie, a college student in the Music program, reluctantly returns to her home town of Apple Springs, Washington for the summer break, she who will be house-sitting at her parents' while they go off on vacation to France. Instead of working at the diner with her best friend Lucy like she did when she was in high school, Cassie, who loves children, manages to find a part-time nanny job looking after pre-schooler Becca Paine, as her mother, Chloe Paine, is planning on returning to work part-time as a lawyer. Cassie and Lucy's return to town coincides with a woman named Mallory Raymond having gone missing, she the wife of Glenn Raymond, who works in construction for Becca's father/Chloe's husband, Tom Paine, the owner of his own park design company. Sheriff Hayes sat on the case in believing Mallory ran off as Glenn has been open that they were separated, but now, from new material evidence, places Glenn at the top of the suspect list in Mallory's disappearance. Shortly thereafter, another wife in town goes missing as more and more suspicious activity occurs within Cassie's midst as she goes about her job. Refusing to abandon Becca, Cassie stays with the job even in light of information that her own life might be at risk staying at the Paine home.::Huggo""]",Thriller,"Drama, Thriller"
"['Follows Liv, a popular television star whose show has just finished its run, and Maddie, an outstanding student and school basketball star whose popularity is on the rise, until Liv makes a return to their high school.::Anonymous', 'Identical twins Liv, a popular television star whose hit show has just finished its run, and Maddie, an outstanding student and school basketball phenomenon whose popularity is on the rise, that is until Liv makes a triumphant return to their Wisconsin high school and complicating their teenage life even more is that their parents both work at their school.::Anon', 'Centers on identical twins Liv & Maddie. One, a popular television star whose hit show has just finished its run, and Maddie, an outstanding student and school basketball phenomenon whose popularity is on the rise until Liv makes a triumphant return to their Wisconsin high school. Complicating their lives even more is that their parents both work at the school.::Disney', ""Liv and Maddie are identical twins and built-in best friends. They live together when Liv came back from Hollywood. Although they are identical twins, their hobbies, lies and dislikes are different. Let's watch how will they solve their problems between them, their family and friends and we will see how much do Liv and Maddie each other."", 'Liv, a popular actress returns back home after finishing her hit show ""Sing It Loud"". Maddie, a talented basketball player is her twin, their parents work in the highschool which they both attend. Together they go through rough teenage adventures together along with their brothers Joey and Parker.::Omar Hossam', ""Two identical twins Liv, a famous singer, actress, and performer who traveled to Hollywood for 4 years to follow her dreams, and Maddie, an athletic and popular basketball player are ready to go on adventures together when Liv comes home and complicates and makes their life even more complex where even though they break down, they have each other's back! When watching Liv and Maddie we will follow these two sisters through the challenges they face together and how they work through it all as twins.""]","Comedy, Drama, Family","Drama, Music"
"[""A documentary on New York's annual Puerto Rican Day parade.::Anonymous""]",Documentary,Documentary
"[""Masha's Spooky Stories is a series of cartoon style short stories narrated by a CG Masha. All of these fables have great morals for kids and are great entertainment.""]","Animation, Family","Animation, Family, Fantasy"
"[""Amanda returns to the Santa Cruz's Hacienda seeking revenge against the four men that raped her when she was just fourteen years old.::Bruno Santa Cruz""]",Drama,Drama
"['When Aurora shows a house for her realtor mom, the handsome client finds the body of a rival realtor in the backyard. Suspicion falls on all realtors. Aurora starts investigating with help from her friends.::Scott Filtenborg', 'When Aurora pitches in to help her busy real estate mother, Aida, she quickly realizes she has again walked into a life or death situation. When a body is discovered at her first house showing and a second body is found in another house for sale, it becomes obvious that there is a very cool killer at large.::Hallmark Movies & Mysteries http://www.hallmarkmoviesandmysteries.com/three-bedrooms-one-corpse-an-aurora-teagarden-mystery/about-three-bedrooms-one-corpse-an-aurora-teagarden-mystery', ""Lawrenceton librarian Aurora Teagarden - Ro to her friends - is the president of a real murders discussion club. As a favor to her mother, real estate agent Aida Teagarden, Ro is at the Anderton house to show the listing to one of Aida's new clients, Martin Bartell, an executive at Pan-Agra, a manufacturing company, he who is decorated ex-military. The showing is not quite as either Ro or Martin anticipates as Martin discovers a dead body outside the back gate of the house, it being Tanya Lee Greenhouse, another local real estate agent. She apparently had shown the house the afternoon before. Homicide Detective Lynn Liggett, the wife of Robbery Detective Arthur Smith, a former club member and Ro's ex-boyfriend, does officially state that she is investigating the death as a homicide. The initial evidence points to the murderer being one of the town's real estate agents, there only being three firms in town, they who are all friendly with each other: ABT Realty, Aida's company and her staff; Greenhouse Realty, which was run by Tanya Lee and her loving husband, Donnie Greenhouse; and Sternholz Farrell (Terry and Franklin, respectively), Franklin Farrell who had once dated Ro's best friend, newspaper reporter, Sally Allison, who he would still be dating if he had his way, but he who she stopped dating in favor of his cousin, Henry Evans, that relationship which didn't last. Beyond her interest in real murders, Ro takes an active interest in this case if only to protect her mother, who could have been the target. Ro begins to believe that the murder could have been associated to what she eventually learns is a string of unreported high end art thefts. But Ro can't help but place Martin on the top of the suspect list, especially when she discovers more about his undisclosed past.::Huggo""]","Crime, Mystery","Mystery, Thriller"
"[""When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice.::Relativity Media"", 'Russell and his younger brother Rodney live in the economically-depressed Rust Belt, and have always dreamed of escaping and finding better lives. But when a cruel twist of fate lands Russell in prison, his brother becomes involved with one of the most violent and ruthless crime rings in the Northeast - a mistake that will cost him everything. Once released, Russell must choose between his own freedom, or risk it all to seek justice for his brother.::Production', ""It seems like everything is coming apart around the earnest steel mill worker, Russell Baze, who sees his father slowly dying, and his hometown Braddock in Pennsylvania's Rust Belt disintegrate little by little. Furthermore, Russell's combat veteran brother, Rodney, who struggles to readjust to the civilian life and to pay off a gambling bet that keeps getting bigger, gets sucked into a cruel world of bare-knuckle fighting, exploited by the psychotic drug dealer, Harlan DeGroat. And then, Rodney disappears inexplicably. Can big brother Russell face DeGroat in his own territory?::Nick Riganas"", 'With the dream of a better life always just out of reach, Russell (Christian Bale) and his younger brother Rodney (Casey Affleck) find their futures taking a grim turn when Russell ends up in jail. Meanwhile, on the outside, Rodney falls in with a notorious group of criminals who threaten to destroy any hope for a better tomorrow. Later, when Russell is released from prison the temptation to cut his ties with the past clashes with his sense of duty to his brother, who is headed down the road to ruin..']","Action, Crime, Drama, Thriller",Crime
"['Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.::sspurli', 'Ace Ventura, emerging from self-imposed exile in a remote Himalayan hideaway, travels to Africa with explorer Fulton Greenwall to find a sacred bat which is told will avert a war between with Wachootoo and Wachati tribes. Of course, when Ace gets involved, all hell breaks loose...::Jonathan Broxton <j.w.broxton@sheffield.ac.uk>', ""Ace Ventura is back in an all-new adventure. This time an explorer named, Fulton Greenwall, gives him a new case in Africa to find the sacred bat of the Wachati and Wachootoo Tribes. It's up to Ace to find the sacred bat before the two tribes fight a savage war!::Anthony Pereyra""]","Adventure, Comedy, Crime",Adventure
"['Based on the true story of the June 2002 kidnapping of teenager Elizabeth Smart by two people in Salt Lake City, Utah, USA.::Mark Cameron', ""Upstanding citizen Ed Smart lives happily with his wife and five children in Salt Lake City until youngest daughter Mary Katherine is the traumatized sole witness to the kidnapping from their home of her sister Elizabeth. After treating Ed and his eldest son Charles as prime suspects for statistics' sake, undermining initially wide community support, they concentrate on jailed pedophile Richard Ricci. For months the investigation goes nowhere, even after it becomes clear that Ricci is innocent. The lunatic kidnapper, homeless handyman turned mini-sect prophet 'Emmanuel', and his blindly-devoted wife meanwhile attempt to indoctrinate 'adopted, chosen' Elizabeth, but fate and his alcohol demon lead to his capture.::KGF Vissers""]","Crime, Drama","Biography, Drama, Thriller"
"[""A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.::David Rush"", ""Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.::Anonymous"", ""Rose Armitage is taking her boyfriend, Chris Washington, to meet her parents for the first time. He's a bit uneasy about how they'll treat him, as they're white and he's black. However, her parents turn out to be unfazed and everything seems to be going fine. Chris then starts to notice some weird behavioral traits with the African-American staff at the house. The Armitages throw a huge party and Chris ends up in some awkward conversations with the guests. Initially, he just puts it down to the racial difference, but then the guests', and Armitages', motives start to appear more sinister. Chris decides it is time to get out.::grantss"", ""Chris Washington, a talented young African-American photographer, prepares to meet his Caucasian girlfriend Rose Armitage's parents during a weekend in their Lake Pontaco house. Chris and Rose have been together for five months, and the Armitages are completely unaware that their daughter's sweetheart is black. But when Chris finally meets Rose's mother, a psychiatrist who specializes in hypnosis, and her father, a neurosurgeon, he will soon realize that the family is surrounded by black servants in the total privacy of their magnificent, yet secluded estate in the woods. Little by little, as the friendly and polite ambience gives way to an indistinguishable, rather unrecognizable threat, the unsettling mood coupled with sheer dread will quickly disturb the family's tranquil faÃ§ade. What could the Armitages be hiding? And why is there an off-limits, locked room that leads to the basement?::Nick Riganas"", 'An African-American man travels with his Caucasian girlfriend to meet her parents for the first time. What starts out as an awkward visit soon turns into a horrifying struggle for his sanity and survival, as the family and the townspeople are not what they seem.::Ant R', ""A young African-American photographer by the name of Chris Washington is dragged out to his girlfriend's parents' house to spend the weekend and meet the family. Chris feels unwelcome, considering there are only three other African-Americans on the farm, and two of them work on it. As the weekend progresses, Chris starts noticing some weird things around the farm and when he snaps a picture of one of the family members, the man freaks out. The sense of uneasiness is in the air and it continues to grow as Chris finds out the strange truth of what is really going on in this place.::gavin Johns"", ""Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway upstate with Missy and Dean. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.::Jwelch5742"", ""Black photographer Chris Washington reluctantly agrees to meet the family of his white girlfriend, Rose Armitage. During their drive to the family's countryside estate, they hit a deer. Though Chris was not driving, the white policeman asks for Chris' identification; Rose intervenes and the incident goes unrecorded. At the house, Rose's brother Jeremy and their parents, neurosurgeon Dean and hypnotherapist Missy, make discomfiting comments about black people. Chris witnesses strange behavior from the estate's black workers: housekeeper Georgina and groundskeeper Walter.""]","Horror, Mystery, Thriller","Horror, Mystery, Thriller"
"['Grace is a recovering alcoholic, now divorced from an abusive husband, struggling to bring up three children on her own.', 'After divorcing her abusive, alcoholic husband and recovering from her own alcoholism, Grace tries to rebuild her life and protect her children from making the same mistakes. Against this serious backdrop, this show is actually a comedy, finding humor in the relationships between Grace and her co-workers at the oil refinery, her neighbors Wade and Nadine, and Russel Norton, the bachelor pharmacist.::Jean-Marc Rocher <rocher@fiberbit.net>']","Comedy, Romance",Drama
"[""School's out for summer and the East High Wildcats are ready to make it the time of their lives after landing jobs in a wealthy country club owned by Sharpay and Ryan's family."", ""Troy is offered a job at Ryan & Sharpay's country club and ends up landing jobs for Gabriella, Chad, Taylor, Kelsi, Jason, Martha and Zeke. He is then introduced to Sharpay's parents and realizes that Sharpay can land him many opportunities and even a basketball scholarship. Meanwhile, while Troy starts hanging out with the rich folk, Chad is worried that Troy will forget his friends. Gabriella feels as though she is losing Troy to Sharpay. In the end, Troy will have to learn how to think about his scholarship without losing his friends.::zngnn"", 'The Wildcats are back. They start off getting out of school, where Sharpay makes sure Troy has job at her country club. Troy then in returns gets everyone else a job at the country club too. Gabriella is the new lifeguard, while Troy, Chad, and the others work in the kitchen. At the country club there is a talent show, which Sharpay and Ryan win every year. Kelsi had written a song for Troy and Gabriella to sing at the talent show, which later on Sharpay takes (at a faster tempo) for her and Troy to sing at the talent show. Sharpay plots to take Troy away from Gabriella, by getting him a better job than the rest of the Wildcats. Troy starts changing, all for a ""scholarship"", starting to act like a jerk, which results in Gabriella breaking up with Troy, saying she doesn\'t belong there. After Troy loses all his friends, because he began acting like a jerk and had found out that Sharpay had made it where no Junior Staffers can perform in the talent show, he decides to do something about it, and asks for his old job back with the rest of his friends and quits the talent show leaving Sharpay with nothing, since she had ditched her brother to perform with Troy. She then goes back to Ryan, who had been working with the Junior Staffers on an act, who then leaves her saying she always wanted the spotlight, now she has it. Troy ends up doing the talent show, thinking that he would be performing with Sharpay. He learns a new song within a matter of minutes.', ""Good-bye, classroom! Hello, summer! But for Troy, Gabriella, Chad, and Taylor, this vacation is no day at the beach. That's because they're all working at a country club founded by Ryan and Sharpay's family! And with the club's annual talent show right around the corner, Sharpay's competitive instincts are sizzling. She dumps Ryan as her singing partner and starts wooing Troy to join her onstage instead. Gabriella is less than thrilled that Troy has agreed to sing with Sharpay. How could he do that to her? Things are heating up on the lawns of high society. Will Troy and Gabriella realize that they're meant to be? Or is it already too late for them to sing one last song together?::jacobsnchz""]","Comedy, Drama, Family, Music, Musical, Romance","Comedy, Family"
"['After two years in prison for participating in an illegal street race, Roy says no to a new illegal winter race from Bergen to Murmansk in the North of Russia. But then he hears that his daughter will participate with a boyfriend.::OJT']","Action, Comedy",Comedy
"['After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Las Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.::Sony Pictures Entertainment', 'After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.::Sony Pictures Entertainment', 'Paul Blart is back and better than ever after 6 years of upholding and protecting the public citizens of his local mall in West Orange, NJ. His wife of 6 days leaves him and he loses his Mom unexpectedly, then Paul receives a letter that invites him and his daughter out to Las Vegas for a security convention for the elite mall cops, he is pulled into action to save his kidnapped daughter from art thieves at the Wynn Hotel and resort.::bugman-88296', ""Paul Blart's vacation to Las Vegas is cut short when his daughter Maya is kidnapped by an evil mastermind who is stealing valuable art. Now, the game of mall cops has changed, new gadgets and Paul Blart is losing fame. But now in time of emergency he must save the day once again. With a team of classic mall cops try to defeat the thief and save Maya before she is taken away. Can they complete the job or will all the art and Maya be taken away?"", ""Six years after the heroic Black Friday rescue at New Jersey's West Orange Pavilion Mall in Paul Blart: Mall Cop (2009), Paul Blart finds himself in dazzling Las Vegas with his daughter, Maya, to attend the Security Officers Trade Association convention. However, instead of resting and having fun, the overprotective father unearths a well-planned conspiracy, as the suave art collector and steely criminal, Vincent Sofel, and his skilled gang of robbers intend to steal a rare art collection. Now, it's up to the selfless protector, Paul, and his equally experienced team of security guards to save the day. Will the Mall cop carry through the most difficult mission in his entire career?::Nick Riganas"", 'Paul blart dies and and is given another chance at life. Paul takes his second chance but takes his new life for granted, making his wife leave (due to uncontrollable Vomitting) and his mother get hit by a milk truck. Paul lives in fear and gets very overprotective of his daughter. When Paul gets invited to a mall cop press conference in Las Vegas, Paul might get a new chance at redemption and become a hero once more']","Action, Comedy, Crime, Family","Comedy, Thriller"
"[""When a sixteen-year-old high school student finds out she's a witch, her two aunts offer guidance on how to control her newly-discovered magical powers."", ""Sabrina Spellman (Melissa Joan Hart), a perfectly normal sixteen-year-old, is informed by her aunts, Hilda (Caroline Rhea) and Zelda (Beth Broderick), that she (and they, and her whole family on her father's side) are witches. She lives with them in Massachusetts while preparing to receive her witch's license. Along the way, she gets into many scrapes while figuring out how certain spells work. She also has to keep the secret from her boyfriend, Harvey (Nate Richert), friends Jenny (Michelle Beaudoin), and later Valerie (Lindsay Sloane), stuck-up nemesis Libby (Jenna Leigh Green), and the ever-suspicious Principal Willard Kraft (Martin Mull).""]","Comedy, Family, Fantasy","Comedy, Fantasy"
"['Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.::Dynasti Noble', 'Following up the previous Nightmare film, the dream demon Freddy Krueger is resurrected from his apparent demise, and rapidly tracks down and kills all three of the surviving Elm Street kids. However, Kristen Parker (who has the ability to draw others into her dreams) wills her special ability to her new best friend Alice Johnson before her demise. Afterwards, she soon realizes that Freddy is taking advantage of that unknown power she now wields to pull a new group of teenage children into his foul domain. Can Alice embrace her new power to finally defeat Freddy or is it already too late?::David Thiel <d-thiel@uiuc.edu>', ""A year after seemingly defeating dream demon Freddy Krueger, the three remaining Dream Warriors, Kristen Parker, Roland Kincaid and Joey Crusel, are released from Westin Hills, and sent back to their families in Springwood to live normal lives and attend high school again. While Kincaid and Joey are treated as outcasts, Kristen becomes popular with a new set of friends and a boyfriend named Rick, which puts a divide between the three of them. Kristen begins having dreams that Freddy is returning to which Kincaid and Joey refuse to believe. One night while dreaming, Kincaid discovers Freddy has returned and has his sights on seeking revenge against them and going after their new friends. But Kristen's friend Alice Johnson, a shy daydreamer and Rick's sister, may be the key to stopping Freddy, once and for all."", 'This film takes place one year after the events of the previous film and the last three children of the Elm Street r released from the institution n they return back to their homes thinking that Freddy is gone forever. But Freddy is once again resurrected n apart from the last three children, he needs new victims in order to sate his murderous needs. Freddy goads one of the kid to pull somebody new into the dream to enjoy his killings.::Fella_shibby@yahoo.com']",Horror,"Action, Fantasy, Horror"
